store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
6763,54928841.82,58976063.31,58735118.28,0.073681173,-0.004085472,100.00%,0.00%,5,18944,PERKASIE,40.382285,-75.220819,0.124,0.127,0.126
6764,50983561.54,49768141.57,45124637.32,-0.023839448,-0.093302746,0.00%,-100.00%,1,17740,JERSEY SHORE,41.20147711,-77.27386053,0.184,0.193,0.187
6765,125578325.2,124566395.9,124187205.4,-0.008058153,-0.003044083,0.00%,0.00%,4,21114,CROFTON,39.018506,-76.693528,0.118,0.12,0.117
6767,39722071.52,39186571.2,38762339.64,-0.013481178,-0.010825942,0.00%,0.00%,4,77541,FREEPORT,28.95712,-95.37341,0.144,0.15,0.155
6768,76395603.73,73405729.63,71305479.15,-0.03913673,-0.028611533,0.00%,0.00%,4,92604,IRVINE,33.696372,-117.799468,0.136,0.133,0.133
6769,32643243.53,35906639.72,35166318.39,0.099971566,-0.020617951,100.00%,0.00%,5,28804,WOODFIN,35.6722,-82.5824,0.145,0.147,0.14
6770,111657571.3,99575560.85,85497409.89,-0.108205922,-0.141381588,-100.00%,-100.00%,0,92688,RANCHO SANTA MARGARITA,33.638228,-117.590666,0.131,0.13,0.132
6772,101493810.3,84697435.99,70035702.12,-0.165491613,-0.173107175,-100.00%,-100.00%,0,93726,FRESNO,36.80809,-119.781806,0.172,0.155,0.153
6773,74522098.95,79331063.43,82980943.56,0.064530717,0.046008209,100.00%,100.00%,8,77049,HOUSTON,29.808962,-95.165071,0.135,0.14,0.138
6775,41673404.77,42137935.63,43270728.48,0.011146938,0.02688297,100.00%,100.00%,8,75050,GRAND PRAIRIE,32.745599,-96.995642,0.14,0.143,0.141
6776,46812291.69,45219357.73,36108157.35,-0.034028113,-0.201488938,0.00%,-100.00%,1,75206,DALLAS,32.811437,-96.771021,0.118,0.115,0.13
6777,115696626.8,111789672,100587851.2,-0.03376896,-0.100204434,0.00%,-100.00%,1,75219,DALLAS,32.815788,-96.810894,0.098,0.102,0.107
6779,84908720.51,75642158.65,68267842.24,-0.109135573,-0.097489502,-100.00%,-100.00%,0,75205,DALLAS,32.83726,-96.779779,0.095,0.091,0.095
6780,40006560.42,40268188.05,38868285.01,0.006539618,-0.03476449,100.00%,0.00%,5,47170,SCOTTSBURG,38.68521576,-85.77890201,0.159,0.153,0.155
6781,94721458.05,99737825.92,97666666.4,0.05295915,-0.020766038,100.00%,0.00%,5,75224,DALLAS,32.721041,-96.856525,0.127,0.127,0.129
6782,45882578.7,45678032.17,42325551.17,-0.004458043,-0.073393726,0.00%,-100.00%,1,92648,HUNTINGTON BEACH,33.688298,-117.988109,0.145,0.138,0.132
6784,88231720.31,89251152.55,91765574.68,0.011554033,0.028172433,100.00%,100.00%,8,47012,BROOKVILLE,39.4286,-85.0133,0.185,0.187,0.191
6785,43698572.09,44089521.75,42916915.79,0.008946509,-0.026596024,100.00%,0.00%,5,60618,CHICAGO,41.960941,-87.712357,0.149,0.15,0.154
6786,42235552.97,38335513.41,31048878.41,-0.092340204,-0.190075321,-100.00%,-100.00%,0,76111,FORT WORTH,32.779273,-97.291131,0.155,0.166,0.176
6787,86677741.75,91417938.29,89838771.93,0.054687587,-0.017274141,100.00%,0.00%,5,47006,BATESVILLE,39.3061,-85.218,0.155,0.156,0.151
6788,38865378.38,37579209.87,36528559.21,-0.033092911,-0.027958296,0.00%,0.00%,4,76103,FORT WORTH,32.740352,-97.262524,0.162,0.173,0.175
6789,49305137.71,46402020.35,44032721.1,-0.058880626,-0.051060261,-100.00%,-100.00%,0,60517,WOODRIDGE,41.728204,-88.027461,0.162,0.156,0.161
6790,55587930.16,49703511.21,46518595.52,-0.105857853,-0.064078284,-100.00%,-100.00%,0,18505,SCRANTON,41.378446,-75.693578,0.164,0.163,0.164
6791,72302660.83,62131395.68,64023226.22,-0.140676222,0.030448866,-100.00%,100.00%,6,47250,MADISON,38.7749,-85.3967,0.173,0.172,0.17
6792,62479248.01,60381704.03,58568612.96,-0.033571851,-0.03002716,0.00%,0.00%,4,47201,COLUMBUS,39.19899698,-85.97399253,0.139,0.133,0.136
6793,99770641.58,91603946.88,83024925.49,-0.081854688,-0.093653403,-100.00%,-100.00%,0,95682,CAMERON PARK,38.697483,-121.002948,0.171,0.17,0.167
6794,32050344.94,35767490.62,29494780.4,0.115978336,-0.175374624,100.00%,-100.00%,2,76114,FORT WORTH,32.789811,-97.387524,0.175,0.179,0.189
6795,31172876.71,27887188.48,26594750.93,-0.10540215,-0.046345208,-100.00%,0.00%,3,47353,LIBERTY,39.636959,-84.932557,0.184,0.193,0.195
6798,45518468.49,39087069.78,37463342.84,-0.141292072,-0.041541281,-100.00%,0.00%,3,47243,HANOVER,38.7162,-85.4735,0.155,0.148,0.156
6800,62313346.93,53255202.13,53037772.66,-0.14536444,-0.004082784,-100.00%,0.00%,3,77356,MONTGOMERY,30.358752,-95.593814,0.132,0.135,0.132
6801,42874803.63,36470653.08,38516926.23,-0.149368627,0.05610739,-100.00%,100.00%,6,32216,JACKSONVILLE,30.276787,-81.602909,0.153,0.17,0.167
6802,39837575.61,33555748.95,31299830.78,-0.157685968,-0.067228962,-100.00%,-100.00%,0,76022,BEDFORD,32.824075,-97.164112,0.131,0.13,0.139
6803,103276477.1,95583163.25,90387216.61,-0.074492412,-0.05436048,-100.00%,-100.00%,0,75062,IRVING,32.838293,-96.975827,0.121,0.123,0.129
6805,63442200.83,62547047.32,57694968.76,-0.014109749,-0.077574862,0.00%,-100.00%,1,75137,DUNCANVILLE,32.646797,-96.891995,0.134,0.142,0.149
6806,54505193.63,52531620.49,47236881.54,-0.036208901,-0.100791464,0.00%,-100.00%,1,75402,GREENVILLE,33.120133,-96.109746,0.166,0.162,0.165
6807,27120983.47,27119985.53,25980161.27,-3.68E-05,-0.042028941,0.00%,0.00%,4,6450,MERIDEN,41.5258,-72.7988,0.12,0.128,0.128
6808,53188938.75,47862758.47,42615516.02,-0.100136991,-0.109631008,-100.00%,-100.00%,0,47265,NORTH VERNON,39.004425,-85.626854,0.182,0.182,0.179
